                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9848,                 2.4216,                 2.0284,                0.12987,                0.20155,                0.08004,                0.02593,                 2.4497,                 4.6096,                 3.0338,             0.00066362,             0.00066362,             0.00066362
                      2,                 2.2737,                 2.6402,                 2.3354,                0.38737,                 0.1938,                0.17233,                0.05491,                 2.2714,                 3.0613,                 2.5593,              0.0013039,              0.0013039,              0.0013039
                      3,                 2.2174,                 2.4845,                 2.2856,                0.14597,                0.17829,                0.05844,                0.01733,                 2.5387,                 4.5691,                 2.9538,              0.0019179,              0.0019179,              0.0019179
                      4,                 2.1978,                 2.5296,                 2.2289,                0.40116,                 0.1938,                 0.1503,                0.05828,                 2.2426,                 3.4209,                 2.3235,              0.0018812,              0.0018812,              0.0018812
                      5,                  2.072,                 2.3293,                 2.1056,                0.41139,                0.31395,                0.34254,                0.13592,                  1.945,                 2.3715,                 2.0849,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.1214,                 2.2902,                 2.1176,                0.38199,                0.19767,                0.18999,                0.06593,                 2.2862,                 2.8706,                 2.3063,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.0496,                 2.2095,                 2.0921,                0.47324,                0.44186,                0.44907,                0.17317,                 2.0133,                 2.0109,                 2.0616,               0.001802,               0.001802,               0.001802
                      8,                 1.9886,                 2.0788,                  2.005,                0.60527,                0.41603,                0.49095,                0.20331,                 1.9863,                  1.984,                 2.0973,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.9427,                 2.0202,                 2.0143,                0.41529,                0.48062,                0.44493,                0.20184,                 1.9202,                 1.9151,                 2.0339,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.8983,                 1.9839,                 1.9839,                0.52702,                0.43798,                0.50509,                0.22148,                 2.0277,                 2.0122,                  2.101,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.8827,                 1.9388,                  1.958,                0.45594,                0.38329,                0.37067,                0.13906,                 2.0055,                 2.2601,                 2.1183,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.9439,                 1.9945,                  1.993,                0.52143,                0.51163,                0.51906,                0.24735,                 1.8554,                 1.8384,                  1.965,               0.001604,               0.001604,               0.001604
                     13,                 1.9112,                 1.9607,                 1.9755,                0.56038,                0.49612,                0.52452,                0.22201,                 1.9037,                 1.8819,                 2.0258,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.8811,                   1.88,                 1.9348,                0.55545,                0.47674,                0.54372,                0.24307,                 1.9091,                 1.9831,                 1.9956,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.8553,                 1.8441,                 1.9278,                0.60949,                 0.5384,                 0.6072,                 0.2586,                 1.8808,                 1.7699,                 1.9578,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.8883,                 1.8606,                 1.9334,                0.57351,                0.53488,                0.55977,                0.23157,                 1.8534,                 1.8199,                  1.953,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.8058,                 1.8104,                 1.8969,                0.65338,                0.59181,                0.62913,                0.29364,                 1.7753,                 1.6691,                 1.9436,               0.001406,               0.001406,               0.001406
                     18,                    1.8,                 1.8435,                 1.8891,                0.63414,                0.58449,                0.62254,                0.29308,                 1.8161,                 1.6314,                 1.9193,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.7935,                  1.793,                 1.8883,                0.65727,                 0.6021,                0.65517,                0.31587,                 1.7558,                  1.622,                 1.8823,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7813,                  1.792,                 1.8532,                0.61362,                0.61628,                0.66949,                0.31124,                 1.8162,                 1.7123,                 1.8927,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7526,                 1.6961,                 1.8495,                0.64782,                0.64882,                0.67537,                0.33388,                 1.7071,                 1.5134,                 1.8498,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.7503,                 1.7626,                   1.88,                0.66453,                0.63566,                0.68518,                0.32307,                 1.7398,                 1.5393,                 1.8815,               0.001208,               0.001208,               0.001208
                     23,                   1.72,                 1.6745,                 1.8375,                0.68212,                0.64341,                0.69841,                0.31853,                 1.7506,                 1.5074,                 1.8585,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.7187,                 1.6615,                 1.8164,                0.61686,                 0.5969,                0.65628,                0.31411,                 1.7681,                 1.5512,                  1.847,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.7031,                 1.6439,                 1.8192,                0.72336,                0.65876,                0.72745,                0.36428,                 1.6905,                 1.4546,                 1.8232,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.7381,                  1.658,                 1.8333,                0.71294,                0.67385,                0.73834,                0.36303,                 1.6992,                 1.6089,                 1.8196,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.6755,                 1.6224,                 1.7978,                0.71335,                0.62403,                0.71551,                0.35148,                 1.6602,                 1.4687,                 1.7964,                0.00101,                0.00101,                0.00101
                     28,                 1.6733,                  1.524,                 1.7739,                 0.7395,                0.65116,                0.73174,                0.36447,                 1.7065,                  1.417,                 1.8264,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.6648,                 1.5938,                 1.7809,                0.64726,                0.70543,                0.73011,                0.35857,                 1.6996,                  1.447,                 1.7971,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.6601,                 1.5457,                 1.7737,                0.72732,                0.66279,                0.72485,                0.35285,                  1.681,                 1.4286,                 1.8011,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.6629,                 1.5206,                 1.7879,                0.72603,                0.65504,                0.74181,                0.37391,                 1.6347,                 1.3814,                  1.761,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.6158,                 1.5049,                 1.7434,                0.76368,                0.64729,                 0.7384,                0.37738,                 1.6725,                 1.3708,                 1.7833,               0.000812,               0.000812,               0.000812
                     33,                 1.6005,                 1.4908,                  1.727,                0.68876,                0.73766,                0.76087,                0.39552,                 1.6508,                 1.3187,                 1.7739,              0.0007724,              0.0007724,              0.0007724
                     34,                  1.611,                 1.4502,                 1.7309,                0.70241,                0.65869,                 0.7225,                0.36598,                 1.6348,                 1.4023,                 1.7588,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.6108,                 1.4695,                 1.7332,                0.73893,                0.68018,                0.76247,                0.39331,                 1.6067,                 1.2991,                 1.7321,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5593,                 1.4006,                 1.6895,                0.74892,                0.70543,                0.77438,                 0.4178,                  1.554,                 1.2744,                 1.6864,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5644,                 1.4007,                 1.6715,                0.72088,                0.71318,                0.76394,                0.40585,                 1.6092,                 1.2744,                  1.741,               0.000614,               0.000614,               0.000614
                     38,                 1.5691,                  1.409,                 1.7022,                0.74773,                0.67829,                0.77093,                0.39656,                  1.634,                 1.2824,                 1.7415,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5732,                 1.4367,                 1.7148,                0.76316,                0.68605,                0.77441,                0.40968,                 1.5707,                 1.2923,                 1.7182,              0.0005348,              0.0005348,              0.0005348
                     40,                  1.549,                 1.3627,                 1.6765,                0.81515,                0.65116,                0.78131,                0.41098,                 1.6151,                 1.2308,                 1.7329,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5951,                 1.3433,                  1.748,                0.80041,                0.67829,                0.79103,                0.41634,                  1.601,                 1.2409,                 1.7444,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.5584,                 1.3053,                 1.7268,                0.78435,                0.67667,                0.77821,                0.40952,                 1.6019,                 1.2402,                 1.7491,               0.000416,               0.000416,               0.000416
                     43,                 1.5602,                 1.2692,                  1.722,                0.80269,                0.72093,                0.80356,                0.42528,                 1.5738,                 1.1983,                 1.7016,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5299,                 1.2419,                 1.6825,                 0.7841,                0.71792,                0.78709,                0.40771,                 1.5715,                 1.2253,                 1.6995,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.5287,                 1.2287,                 1.6727,                0.78317,                0.68605,                0.80656,                0.42591,                 1.5882,                 1.1758,                 1.6995,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.5166,                 1.2115,                 1.6867,                0.75328,                0.74555,                0.81146,                0.42854,                 1.5398,                 1.1762,                 1.6769,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.5023,                  1.196,                 1.6629,                0.80544,                0.68217,                0.79524,                0.42325,                 1.5781,                 1.1544,                 1.7013,               0.000218,               0.000218,               0.000218
                     48,                 1.4767,                 1.1821,                 1.6588,                 0.7542,                0.72481,                 0.7933,                0.42312,                 1.5579,                 1.1631,                  1.683,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4968,                 1.1615,                 1.6608,                0.78063,                0.72093,                0.79421,                0.42647,                 1.5792,                 1.1305,                 1.7042,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4652,                 1.1574,                 1.6665,                0.71658,                0.76744,                0.79906,                0.43364,                 1.5712,                 1.1191,                 1.7036,               9.92e-05,               9.92e-05,               9.92e-05
