                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7985,                 2.1599,                 1.7369,                0.43198,                0.32998,                0.32828,                0.13345,                 2.0509,                   2.11,                  2.064,             0.00055359,             0.00055359,             0.00055359
                      2,                 1.8431,                 2.0485,                 1.8129,                 0.2491,                0.36415,                0.18846,                0.07334,                 2.0786,                  2.513,                 2.1399,              0.0010873,              0.0010873,              0.0010873
                      3,                 1.8673,                 2.0693,                 1.8161,                0.26334,                0.40831,                0.28138,                0.10744,                 2.1717,                 2.7997,                 2.1653,               0.001599,               0.001599,               0.001599
                      4,                 1.8405,                 2.0048,                 1.8165,                0.23465,                0.41644,                0.27589,                0.12013,                 1.9933,                 2.0346,                  1.965,               0.001568,               0.001568,               0.001568
                      5,                 1.8136,                 1.9353,                 1.7848,                0.27496,                0.45483,                0.31987,                0.13143,                 2.0305,                 2.2913,                  2.046,               0.001535,               0.001535,               0.001535
                      6,                  1.803,                 1.8541,                 1.7808,                0.45777,                0.36946,                0.38222,                0.17034,                  1.928,                 1.8938,                 1.9086,               0.001502,               0.001502,               0.001502
                      7,                 1.7566,                 1.8129,                 1.7649,                0.43282,                 0.3887,                0.35326,                0.15314,                 1.9781,                 2.0685,                 1.9666,               0.001469,               0.001469,               0.001469
                      8,                 1.7383,                 1.8053,                 1.7462,                0.46538,                0.47862,                0.43956,                0.20342,                 1.8271,                 1.7704,                 1.8138,               0.001436,               0.001436,               0.001436
                      9,                 1.7098,                 1.7016,                 1.7142,                0.47294,                0.44045,                0.43502,                0.20131,                 1.9051,                 1.7283,                 1.8859,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.7135,                 1.7087,                 1.7284,                0.49373,                0.53244,                0.49138,                0.21411,                 1.8474,                 1.6912,                 1.8445,              0.0013699,              0.0013699,              0.0013699
